rid,tag,band,level,amount,ruler,filler
20,R20,DELTA,77,250.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R20 ........................................ END-R20
21,R21,ALPHA,63,300.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R21 ........................................ END-R21
22,R22,BRAVO,50,350.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R22 ........................................ END-R22
23,R23,CHARLIE,37,400.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R23 ........................................ END-R23
24,R24,DELTA,23,450.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R24 ........................................ END-R24
25,R25,ALPHA,10,500.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R25 ........................................ END-R25
26,R26,BRAVO,23,450.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R26 ........................................ END-R26
27,R27,CHARLIE,37,400.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R27 ........................................ END-R27
28,R28,DELTA,50,350.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R28 ........................................ END-R28
29,R29,ALPHA,63,300.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R29 ........................................ END-R29
30,R30,BRAVO,77,250.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R30 ........................................ END-R30
31,R31,CHARLIE,90,200.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R31 ........................................ END-R31
32,R32,DELTA,77,150.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R32 ........................................ END-R32
33,R33,ALPHA,63,100.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R33 ........................................ END-R33
34,R34,BRAVO,50,150.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R34 ........................................ END-R34
35,R35,CHARLIE,37,200.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R35 ........................................ END-R35
36,R36,DELTA,23,250.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R36 ........................................ END-R36
37,R37,ALPHA,10,300.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R37 ........................................ END-R37
38,R38,BRAVO,23,350.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R38 ........................................ END-R38
39,R39,CHARLIE,37,400.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R39 ........................................ END-R39
40,R40,DELTA,50,450.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R40 ........................................ END-R40
41,R41,ALPHA,63,500.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R41 ........................................ END-R41
42,R42,BRAVO,77,450.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R42 ........................................ END-R42
43,R43,CHARLIE,90,400.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R43 ........................................ END-R43
44,R44,DELTA,77,350.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R44 ........................................ END-R44
45,R45,ALPHA,63,300.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R45 ........................................ END-R45
46,R46,BRAVO,50,250.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R46 ........................................ END-R46
47,R47,CHARLIE,37,200.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R47 ........................................ END-R47
48,R48,DELTA,23,150.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R48 ........................................ END-R48
